date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name
2004-02-01,44.7321428571429,15099.35,8431.0,377136.69642857177,127302619.85000001,2004,2,Feb
2004-03-01,52.4330357142857,13786.54347826087,8579.73913043478,449861.7682453414,118284946.55387521,2004,3,Mar
2004-04-01,57.0535714285714,12725.9,8613.54545454545,491433.5308441554,109615118.09999995,2004,4,Apr
2004-05-01,60.46875,11228.60526315789,9001.47619047619,544308.0133928572,101074022.92857139,2004,5,May
2004-06-01,63.8035714285714,13599.36363636364,9383.72727272727,598715.3133116879,127612719.44628099,2004,6,Jun
2004-07-01,65.7589285714286,15020.06818181818,9030.95454545455,593865.8948863641,135645553.01962814,2004,7,Jul
2004-08-01,63.4821428571429,13639.61904761905,9240.63636363636,586615.3977272729,126038759.75757574,2004,8,Aug
2004-09-01,59.3303571428571,13430.36363636364,9174.13636363636,544304.7869318177,123211987.41322313,2004,9,Sep
2004-10-01,60.6696428571429,14378.476190476193,9095.38095238095,551813.5140306125,130777718.46712017,2004,10,Oct
2004-11-01,56.5982142857143,14089.51227272727,9023.59090909091,510719.1318993508,127137994.8577066,2004,11,Nov
2004-12-01,55.9821428571429,13764.976190476193,9222.82608695652,516313.5675465841,126951981.4958592,2004,12,Dec
2005-01-01,56.8339285714286,14563.75,9197.38095238095,522723.2920918369,133948356.84523807,2005,1,Jan
2005-02-01,53.4616071428571,15415.6,9229.8,493439.9416071424,142282904.88,2005,2,Feb
2005-03-01,54.5625,16239.90476190476,9372.69565217391,511397.70652173896,152211684.75362313,2005,3,Mar
2005-04-01,54.9107142857143,16138.33333333333,9550.33333333333,524415.625,154126462.7777777,2005,4,Apr
2005-05-01,54.9776785714286,17002.25,9474.90909090909,520908.5064935067,161094773.09090906,2005,5,May
2005-06-01,54.6428571428571,16113.18181818182,9627.52272727273,526075.3490259738,155130024.1632232,2005,6,Jun
2005-07-01,54.5357142857143,14587.59523809524,9810.28571428571,535010.9387755101,143108477.170068,2005,7,Jul
2005-08-01,50.6907467532467,14962.0,9967.52173913043,505261.1202357418,149134060.2608695,2005,8,Aug
2005-09-01,48.3214285714286,14154.54545454545,10216.5909090909,493680.2678571427,144611200.41322297,2005,9,Sep
2005-10-01,44.5280612244898,12431.11904761905,10080.7619047619,448876.7832847422,125315151.32879813,2005,10,Oct
2005-11-01,40.6412337662338,12235.04545454545,10041.3636363636,408093.4068772126,122856540.51652843,2005,11,Nov
2005-12-01,41.6892857142857,13490.45,9846.27272727273,410484.0769480519,132830649.9136364,2005,12,Dec
2006-01-01,45.6428571428572,14660.80952380952,9475.5,432488.8928571434,138918500.6428571,2006,1,Jan
2006-02-01,50.9196428571429,14974.5,9254.5,471235.8348214289,138581510.25,2006,2,Feb
2006-03-01,53.2127329192547,14925.47826086957,9158.13043478261,487329.1488657849,136689476.71455583,2006,3,Mar
2006-04-01,56.4702380952381,18028.888888888887,8929.45,504248.1675595239,160988061.8888889,2006,4,Apr
2006-05-01,56.7219387755102,21131.33333333333,9019.60869565217,511609.69221384183,190596357.88405785,2006,5,May
2006-06-01,54.9107142857143,20585.90909090909,9366.13636363636,514301.2378246753,192810431.71487594,2006,6,Jun
2006-07-01,56.9540816326531,26185.714285714286,9129.28571428571,519950.0838192421,239056867.34693867,2006,7,Jul
2006-08-01,55.6339285714286,30468.86363636364,9092.60869565217,505857.5427018634,277041454.44664025,2006,8,Aug
2006-09-01,51.8877551020408,29702.61904761905,9151.09523809524,474829.78862973757,271811495.72562367,2006,9,Sep
2006-10-01,47.6907467532468,32551.13636363636,9171.95454545455,437417.3614595638,298557543.1301654,2006,10,Oct
2006-11-01,48.2142857142857,31891.59090909091,9137.77272727273,440571.18506493507,291418109.6384299,2006,11,Nov
2006-12-01,54.5103383458647,34400.52631578947,9082.28571428571,495078.46723952756,312435408.7218044,2006,12,Dec
2007-01-01,55.762987012987,36821.59090909091,9072.69565217391,505920.6098249573,334071087.7470355,2007,1,Jan
2007-02-01,56.00625,41078.25,9067.95,507861.87468750007,372495517.08750004,2007,2,Feb
2007-03-01,56.924512987013,46125.22727272727,9168.36363636364,521904.6348878398,422892856.44628114,2007,3,Mar
2007-04-01,58.0516917293233,49956.578947368405,9093.0,527864.0328947367,454255172.3684209,2007,4,Apr
2007-05-01,58.4566326530612,51783.33333333333,8834.47826086957,516433.8503771074,457478732.6086958,2007,5,May
2007-06-01,63.1505102040817,41551.66666666667,8982.90476190476,567275.0188289606,373254664.36507934,2007,6,Jun
2007-07-01,72.7938311688312,33400.22727272727,9067.45454545455,660054.7553128696,302855042.60330594,2007,7,Jul
2007-08-01,74.8344155844156,27649.63636363636,9362.82608695652,700661.618435912,258878736.64031613,2007,8,Aug
2007-09-01,73.5535714285715,29548.4,9302.65,684243.1312500007,274878423.26,2007,9,Sep
2007-10-01,79.5093167701863,31156.0,9097.69565217391,723351.5654874421,283447805.7391304,2007,10,Oct
2007-11-01,93.1168831168831,30505.63636363636,9270.27272727273,863218.9020070839,282795568.8099174,2007,11,Nov
2007-12-01,98.9097744360902,26053.55555555556,9352.6,925063.5563909772,243668483.68888894,2007,12,Dec
2008-01-01,98.4862012987013,27774.772727272728,9405.97826086957,926359.0684112088,261248908.47332028,2008,1,Jan
2008-02-01,141.887755102041,28064.952380952385,9190.2619047619,1303985.6304664733,257924262.72562346,2008,2,Feb
2008-03-01,137.763157894737,31093.05263157895,9169.33333333333,1263196.3157894746,285102563.9298245,2008,3,Mar
2008-04-01,131.737012987013,28776.81818181818,9204.43181818182,1212564.3539698941,264874260.89876035,2008,4,Apr
2008-05-01,143.075892857143,25656.5,9272.63636363636,1326690.726866884,237903394.86363629,2008,5,May
2008-06-01,166.989795918367,22562.57142857143,9285.95238095238,1550659.293002912,209514963.87755102,2008,6,Jun
2008-07-01,195.186335403727,20106.95652173913,9158.54347826087,1787622.5391574427,184150435.51984876,2008,7,Jul
2008-08-01,173.303571428571,19111.8,9148.45238095238,1585459.4706632611,174843392.21428567,2008,8,Aug
2008-09-01,164.498376623377,17781.86363636364,9346.11363636364,1537420.5209194256,166191318.21177694,2008,9,Sep
2008-10-01,119.366459627329,12144.86956521739,9950.41304347826,1187745.5768295955,120846468.53308126,2008,10,Oct
2008-11-01,101.382321428571,10776.5,11574.125,1173411.6610044593,124728558.0625,2008,11,Nov
2008-12-01,82.6086734693877,9846.928571428572,11260.25,930194.3154336729,110878877.44642858,2008,12,Dec
2009-01-01,85.5617346938775,11562.95238095238,11127.0,952045.4219387749,128660971.14285713,2009,1,Jan
2009-02-01,80.8226785714285,10410.75,11808.0,954354.1885714277,122930136.0,2009,2,Feb
2009-03-01,65.4521103896103,9710.727272727272,11808.4090909091,772885.2953438602,114668240.20661165,2009,3,Mar
2009-04-01,66.2705357142857,11331.6,11012.0454545455,729774.1515827951,124784094.27272779,2009,4,Apr
2009-05-01,67.0150375939849,12720.07894736842,10351.9047619048,693733.2867884014,131677045.82706814,2009,5,May
2009-06-01,75.8133116883116,14944.36363636364,10170.2272727273,771038.610168242,151987574.6280996,2009,6,Jun
2009-07-01,77.6203416149068,16017.39130434783,10088.2608695652,783054.2549959476,161587621.9281661,2009,7,Jul
2009-08-01,77.8821428571428,19375.925,9958.57142857143,775594.8826530607,192956533.10714287,2009,8,Aug
2009-09-01,73.1493506493506,17404.63636363636,9840.90909090909,719856.109799291,171277444.214876,2009,9,Sep
2009-10-01,75.7037337662337,18489.477272727272,9471.0,716990.0624999993,175113839.25,2009,10,Oct
2009-11-01,82.2653061224489,16911.33333333333,9439.28571428571,776525.7288629727,159630907.14285702,2009,11,Nov
2009-12-01,86.3596938775509,17121.61904761905,9446.39130434783,815787.4612910373,161737513.28778476,2009,12,Dec
2010-01-01,100.14375,18405.55,9270.0,928332.5625,170619448.5,2010,1,Jan
2010-02-01,98.1589285714284,19060.55,9326.25,915454.7075892842,177763454.4375,2010,2,Feb
2010-03-01,100.099378881987,22467.17391304348,9161.08695652174,917019.1142316988,205823733.8846881,2010,3,Mar
2010-04-01,104.9625,26028.5,9026.31818181818,947424.9221590908,234941522.7954545,2010,4,Apr
