date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name,coal_mom_change,nickel_mom_change,coal_yoy_change,nickel_yoy_change,coal_ma3,coal_ma12,nickel_ma3,nickel_ma12,coal_volatility,nickel_volatility,coal_nickel_ratio,coal_above_ma12,nickel_above_ma12,market_period
2004-11-01,56.5982142857143,14089.51227272727,9023.59090909091,510719.1318993508,127137994.8577066,2004,11,Nov,-6.710816777041984,-2.009697786614706,76.59841203510265,16.90237212771151,58.86607142857144,55.10044642857144,13966.117366522369,13856.0287136608,9.636017652453793,1101.1141420758997,0.004017045671287721,1,1,China boom
2004-12-01,55.9821428571429,13764.976190476193,9222.82608695652,516313.5675465841,126951981.4958592,2004,12,Dec,-1.0884997633695659,-2.3033876259810238,53.6764705882355,-2.9624753348054367,57.75000000000003,56.72991071428572,14077.654884559886,13821.009269216354,7.637573534583789,1096.365487791065,0.0040669988877914814,0,0,China boom
2005-01-01,56.8339285714286,14563.75,9197.38095238095,522723.2920918369,133948356.84523807,2005,1,Jan,1.521531100478457,5.802943633687274,40.51655629139071,-3.4831448263673903,56.471428571428596,58.095535714285724,14139.412821067823,13777.210658105243,5.674005109334388,1050.6356583488969,0.0039024240715082722,0,1,China boom
2005-02-01,53.4616071428571,15415.6,9229.8,493439.9416071424,142282904.88,2005,2,Feb,-5.933641247997112,5.8491116642348295,19.51497005988003,2.0944610198452285,55.42589285714286,58.82299107142858,14581.442063492066,13803.564824771913,4.163481973490862,1090.0425697932635,0.003468019872262974,0,1,China boom
2005-03-01,54.5625,16239.90476190476,9372.69565217391,511397.70652173896,152211684.75362313,2005,3,Mar,2.059221403878042,5.347211668081409,4.0613026819923626,17.79533272797813,54.95267857142857,59.00044642857143,15406.418253968253,14008.0115984089,3.903643675960336,1296.9895775708333,0.003359779555357468,0,1,China boom
2005-04-01,54.9107142857143,16138.33333333333,9550.33333333333,524415.625,154126462.7777777,2005,4,Apr,0.6381934216985963,-0.6254434989649282,-3.755868544600871,26.81486836556417,54.311607142857135,58.821875000000006,15931.279365079363,14292.381042853345,4.04717305503018,1362.7535753997934,0.0034025021761260547,0,1,China boom
2005-05-01,54.9776785714286,17002.25,9474.90909090909,520908.5064935067,161094773.09090906,2005,5,May,0.12195121951221743,5.353196323453502,-9.08084163898113,51.41907299730255,54.8169642857143,58.36428571428573,16460.162698412696,14773.518104256853,4.153078820410834,1191.1348162114004,0.0032335531221708066,0,1,China boom
2005-06-01,54.6428571428571,16113.18181818182,9627.52272727273,526075.3490259738,155130024.1632232,2005,6,Jun,-0.6090133982948776,-5.229120744714255,-14.357682619647383,18.484822150769077,54.84375,57.60089285714287,16417.921717171717,14983.002952741705,3.8963698519212318,1186.9087804919438,0.0033911897575188473,0,1,China boom
2005-07-01,54.5357142857143,14587.59523809524,9810.28571428571,535010.9387755101,143108477.170068,2005,7,Jul,-0.1960784313724484,-9.467941200571172,-17.067209775967427,-2.879300802685103,54.71875,56.665625000000006,15901.00901875902,14946.96354076479,3.005203663291928,1192.2348893152252,0.003738499279394267,0,0,China boom
2005-08-01,50.6907467532467,14962.0,9967.52173913043,505261.1202357418,149134060.2608695,2005,8,Aug,-7.050366136810271,2.5665968639368986,-20.149597238204965,9.695145793766047,53.2897727272727,55.59967532467533,15220.925685425687,15057.161953463205,2.610172573176231,1119.2942798404144,0.0033879659639918925,0,0,China boom
2005-09-01,48.3214285714286,14154.54545454545,10216.5909090909,493680.2678571427,144611200.41322297,2005,9,Sep,-4.6740644665416164,-5.396701947965177,-18.55530474040622,5.392123681752281,51.182629870129865,54.682264610389616,14568.046897546898,15117.510438311687,3.0733190442873934,1040.347714505136,0.0034138453069088937,0,0,China boom
2005-10-01,44.5280612244898,12431.11904761905,10080.7619047619,448876.7832847422,125315151.32879812,2005,10,Oct,-7.85027980149936,-12.17578065265923,-26.60569746662467,-13.543557168784027,47.84674551638836,53.337132807668524,13849.2215007215,14955.230676406927,3.6859041417022995,1288.4122529427814,0.0035819833318238813,0,0,China boom
2005-11-01,40.6412337662338,12235.04545454545,10041.3636363636,408093.4068772126,122856540.51652844,2005,11,Nov,-8.728939350537669,-1.5772803101837707,-28.19343458245488,-13.162036998054694,44.49690785405073,52.00738443104515,12940.23665223665,14800.691774891777,5.034221198974615,1496.159310022889,0.003321706806666186,0,0,China boom
2005-12-01,41.6892857142857,13490.45,9846.27272727273,410484.0769480519,132830649.9136364,2005,12,Dec,2.5787896944276856,10.260726452701107,-25.53110047846897,-1.9943818767091837,42.28619356833644,50.81631300247372,12718.871500721501,14777.814592352091,5.660210859304762,1515.4107106580539,0.0030902813259962194,0,0,China boom
2006-01-01,45.6428571428572,14660.80952380952,9475.5,432488.8928571434,138918500.6428571,2006,1,Jan,9.483423284502868,8.675466895541062,-19.690828541804063,0.6664459621287033,42.657792207792234,49.88372371675943,13462.101659451655,14785.902886002885,5.49821567564862,1514.4230024001108,0.003113256267925183,0,0,China boom
2006-02-01,50.9196428571429,14974.5,9254.5,471235.8348214289,138581510.25,2006,2,Feb,11.561032863849707,2.1396531731828317,-4.754747231825085,-2.8613871662471757,46.0839285714286,49.67189335961658,14375.253174603175,14749.144552669552,5.395853165564119,1503.0600195898135,0.003400423577224141,1,1,China boom
2006-03-01,53.2127329192547,14925.47826086957,9158.13043478261,487329.1488657849,136689476.71455583,2006,3,Mar,4.5033506392516465,-0.32736812000687676,-2.473799918891728,-8.093806708266815,49.9250776397516,49.55941276955448,14853.595928226363,14639.60901091662,5.297814593224943,1430.6970584523383,0.003565227993984193,1,1,China boom
2006-04-01,56.4702380952381,18028.888888888887,8929.45,504248.1675595239,160988061.8888889,2006,4,Apr,6.121664867178245,20.792704754765488,2.840108401083996,11.7146889738029,53.534204623878566,49.68937308701479,15976.289049919485,14797.155307212915,5.457735433325487,1691.127334451248,0.0031322084485217736,1,1,China boom
2006-05-01,56.7219387755102,21131.33333333333,9019.60869565217,511609.6922138418,190596357.88405785,2006,5,May,0.44572271830622956,17.20818439541476,3.172669798735517,24.285511231356605,55.46830326333434,49.83472810402159,18028.56682769726,15141.245584990693,5.6318324561600495,2436.420987393089,0.0026842574427632057,1,1,China boom
2006-06-01,54.9107142857143,20585.90909090909,9366.13636363636,514301.2378246753,192810431.71487597,2006,6,Jun,-3.193163930739795,-2.581116079238921,0.4901960784314596,27.758187819120405,56.034297052154194,49.85704953259302,19915.3771043771,15513.972857717965,5.653112231050621,2897.1806470676715,0.002667393217526805,1,1,China boom
2006-07-01,56.9540816326531,26185.714285714286,9129.28571428571,519950.0838192421,239056867.34693867,2006,7,Jul,3.7212543554007382,27.202127290448974,4.434465338198201,79.50672374930426,56.19557823129253,50.058580144837926,22634.3189033189,16480.482778352885,5.873863855872025,4201.173052751558,0.002175005845218613,1,1,China boom
2006-08-01,55.6339285714286,30468.86363636364,9092.60869565217,505857.5427018634,277041454.44664025,2006,8,Aug,-2.3179252889008573,16.356816941923324,9.751645289907461,103.6416497551373,55.83290816326533,50.47051196301974,25746.829004329004,17772.72141471652,6.091526634698476,5779.893408671921,0.0018259272559489627,1,1,China boom
2006-09-01,51.8877551020408,29702.61904761905,9151.09523809524,474829.7886297376,271811495.72562367,2006,9,Sep,-6.733613040786923,-2.5148446554800308,7.38042445359508,109.8450928219715,54.825255102040835,50.76770584057076,28785.732323232325,19068.394214139324,6.064080477656892,6582.103077743908,0.0017469084129872413,1,1,China boom
2006-10-01,47.6907467532468,32551.13636363636,9171.95454545455,437417.3614595638,298557543.1301654,2006,10,Oct,-8.088629659426005,9.59012170425304,7.102679617718399,161.85202023200742,51.7374768089054,51.03126296796719,30907.539682539686,20745.062323807433,5.832547832572858,7264.866970067061,0.0014651023614193467,0,1,China boom
2006-11-01,48.2142857142857,31891.59090909091,9137.77272727273,440571.1850649351,291418109.6384299,2006,11,Nov,1.0977789124328563,-2.02618257985685,18.6339125224684,160.65772315739818,49.2642625231911,51.662350630304836,31381.782106782106,22383.107778352885,4.948903926362082,7386.644031161419,0.0015118181420213156,0,1,China boom
2006-12-01,54.5103383458647,34400.52631578947,9082.28571428571,495078.4672395276,312435408.7218044,2006,12,Dec,13.058479532163858,7.867075097791298,30.753831378755425,154.99910170371982,50.13845693779907,52.73077168293642,32947.75119617225,24125.61413800201,3.8654516195788653,7562.410963887782,0.0015845786150325567,1,1,China boom
2007-01-01,55.762987012987,36821.59090909091,9072.69565217391,505920.6098249573,334071087.7470355,2007,1,Jan,2.2980020031692305,7.0378707903378634,22.172428510456488,151.15660120467243,52.8292036910458,53.574115838780564,34371.2360446571,25972.345920108794,3.230253625763251,7744.622391996216,0.0015144100413982827,1,1,China boom
2007-02-01,56.00625,41078.25,9067.95,507861.87468750007,372495517.0875,2007,2,Feb,0.4362445414847427,11.560225905008782,9.989479221462316,174.3213462886908,55.42652511961723,53.99799976735199,37433.45574162679,28147.658420108794,3.18366344303133,8035.2792872050195,0.0013634039911632069,1,1,China boom
2007-03-01,56.924512987013,46125.22727272727,9168.36363636364,521904.6348878398,422892856.44628114,2007,3,Mar,1.6395723459667444,12.286251903932799,6.975360715621548,209.03684603296577,56.231249999999996,54.307314772998524,41341.68939393939,30747.637504430266,3.2793093567915634,8407.091618376795,0.0012341297019618392,1,1,China boom
2007-04-01,58.0516917293233,49956.578947368405,9093.0,527864.0328947367,454255172.3684209,2007,4,Apr,1.9801289166364144,8.306412566787547,2.800508174621208,177.09183441779595,56.994151572112095,54.439102575838966,45720.01874003189,33408.27834263689,3.4035579462244776,9044.032855732661,0.001162042977171905,1,1,China boom
2007-05-01,58.4566326530612,51783.33333333333,8834.47826086957,516433.8503771074,457478732.6086958,2007,5,May,0.6975523222062296,3.6566843135705795,3.0582415111310546,145.0547370413604,57.81094578979917,54.5836603989682,49288.379851143,35962.61167597023,3.543299911131982,9574.415126061043,0.0011288696360423791,1,1,China boom
2007-06-01,63.1505102040817,41551.66666666667,8982.90476190476,567275.0188289606,373254664.36507934,2007,6,Jun,8.029674885446369,-19.75860959124556,15.005807200929233,101.84518683712756,59.886278195488735,55.270310058832166,47763.85964912281,37709.758140616694,4.3246735571637895,8347.715959471105,0.0015198069119750116,1,1,China boom
2007-07-01,72.7938311688312,33400.22727272727,9067.45454545455,660054.7553128696,302855042.60330594,2007,7,Jul,15.270376967003841,-19.617599119023055,27.811438762795902,27.551331647076328,64.8003246753247,56.590289186847,42245.07575757575,38310.96755620111,6.667842650536059,7674.983065039202,0.0021794411928529153,1,0,China boom
2007-08-01,74.8344155844156,27649.63636363636,9362.82608695652,700661.618435912,258878736.64031613,2007,8,Aug,2.8032381079815094,-17.21722089533959,34.51218978421671,-9.252813975518992,70.25958565244282,58.19032977126259,34200.5101010101,38076.0319501405,8.476026865426753,7974.174608612862,0.002706524404163039,1,0,China boom
2007-09-01,73.5535714285715,29548.4,9302.65,684243.1312500007,274878423.26,2007,9,Sep,-1.7115710009110163,6.867228239069423,41.75516224188809,-0.5192102668515663,73.72727272727276,59.99581446514014,30199.421212121215,38063.18036283891,9.280785589101615,7989.006928025861,0.002489257334697361,1,0,China boom
