date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name,coal_mom_change,nickel_mom_change,coal_yoy_change,nickel_yoy_change,coal_ma3,coal_ma12,nickel_ma3,nickel_ma12,coal_volatility,nickel_volatility,coal_nickel_ratio,coal_above_ma12,nickel_above_ma12,market_period,coal_diff,nickel_diff
2003-01-01,26.6785714285714,8032.806818181818,8891.04545454545,237200.39123376587,71420050.54803716,2003,1,Jan,1.632653061224376,11.468710183382512,-8.321060382916157,32.5247469066366,26.39285714285713,26.858214285714283,7517.983225108223,6947.593362324068,1.9598719360116517,487.5764784085912,0.0033212016711501,0,1,China boom,0.4285714285713986,826.4734848484877
2003-02-01,26.9464285714286,8607.9,8897.275,239749.7852678574,76586853.4725,2003,2,Feb,1.0040160642572626,7.1593055184209,-9.727207465900833,42.5160804311294,26.625,26.61625,7949.013383838384,7161.5891956574005,1.7216936026243006,602.8952949198957,0.0031304300202637,1,1,China boom,0.26785714285720275,575.0931818181816
2003-03-01,26.1428571428571,8339.619047619048,8924.11904761905,233301.9693877548,74423753.19274378,2003,3,Mar,-2.9821073558650824,-3.1166829584562072,-11.530094271211166,27.45474764058944,26.589285714285698,26.332321428571426,8326.775288600287,7311.2907829589885,1.4540333872965552,656.0718125134565,0.0031347783386245,0,1,China boom,-0.8035714285715017,-268.28095238095193
2003-04-01,25.125,7930.525,8798.95454545455,221073.7329545456,69780328.99659094,2003,4,Apr,-3.89344262295066,-4.9054284768060725,-12.88141470180305,13.996580945014523,26.07142857142857,26.022738095238093,8292.68134920635,7392.433739308195,1.2531928363568103,668.3437027462834,0.0031681383010582,0,1,China boom,-1.0178571428570997,-409.09404761904807
2003-05-01,24.9642857142857,8347.725,8460.68181818182,211214.8782467532,70627445.13068183,2003,5,May,-0.6396588486141219,5.260685767966189,-12.803752307769113,23.28313172133236,25.410714285714267,25.717261904761894,8205.956349206348,7523.812337793043,0.9759905692261924,689.7311574136918,0.0029905496065437,0,1,China boom,-0.1607142857142989,417.2000000000007
2003-06-01,25.8214285714286,8839.02380952381,8214.0,212097.2142857145,72603741.57142857,2003,6,Jun,3.433476394849966,5.885421591197715,-3.1090860359151877,23.664028052440656,25.303571428571438,25.648214285714285,8372.424603174602,7664.763395994101,0.9323368957617608,773.5906368298399,0.0029212986782099,1,1,China boom,0.8571428571429003,491.2988095238088
2003-07-01,26.0892857142857,8831.7,8333.39130434783,217412.2267080745,73598011.98260874,2003,7,Jul,1.0373443983400898,-0.0828576738973962,4.776247848536963,23.733210693988504,25.625,25.747321428571425,8672.816269841269,7805.930424979608,0.9084765288285908,821.7315574510789,0.0029540502637414,1,1,China boom,0.2678571428570997,-7.32380952380845
2003-08-01,27.1339285714286,9359.875,8503.90476190476,230744.3443877553,79595485.58333331,2003,8,Aug,4.00410677618086,5.980445440855098,13.058035714285833,38.93533440773575,26.348214285714302,26.008482142857144,9010.199603174604,8024.51524640818,0.805081238554671,859.5000897667936,0.0028989627074537,1,1,China boom,1.0446428571429003,528.1749999999993
2003-09-01,28.6071428571429,9995.772727272728,8451.68181818182,241778.46915584456,84481090.61776862,2003,9,Sep,5.429417571569628,6.793869867628866,17.002629272568104,49.97515594919217,27.276785714285733,26.35491071428572,9395.782575757576,8302.083608601542,0.9541169960917762,916.468467436028,0.0028619240990834,1,1,China boom,1.473214285714299,635.8977272727279
2003-10-01,29.4642857142857,11040.28260869565,8433.82608695652,248496.66149068307,93111823.47258976,2003,10,Oct,2.996254681647748,10.449516109675594,12.24489795918362,61.90678101189147,28.401785714285733,26.62276785714286,10131.976778656126,8653.864405702992,1.3076686023551818,1089.2867165012244,0.0026687981420945,1,1,China boom,0.8571428571428008,1044.5098814229223
2003-11-01,32.0491071428571,12052.375,8492.3,272170.6325892854,102352384.2125,2003,11,Nov,8.772727272727177,9.167268875048508,22.091836734693725,64.76676474992034,30.04017857142857,27.10602678571428,11029.476778656126,9048.661528718863,2.029637244195492,1379.671572279996,0.0026591528344294,1,1,China boom,2.584821428571402,1012.0923913043498
2003-12-01,36.4285714285714,14185.20952380952,8483.52380952381,309042.65306122426,120340562.73832196,2003,12,Dec,13.664855829502764,17.696383690430473,38.77551020408154,96.84364943535122,32.6473214285714,27.95424107142857,12425.955710835056,9630.234544591882,3.3419801947023,1903.815694235485,0.0025680672088365,1,1,China boom,4.379464285714299,2132.8345238095208
2004-01-01,40.4464285714286,15089.33333333333,8381.19047619048,338989.2219387759,126466576.82539688,2004,1,Jan,11.029411764706044,6.373707825790387,51.60642570281151,87.84633659033665,36.3080357142857,29.1015625,13775.639285714284,10218.278420854507,4.875620294444095,2392.604005775939,0.0026804649137201,1,1,China boom,4.017857142857196,904.1238095238095
2004-02-01,44.7321428571429,15099.35,8431.0,377136.69642857177,127302619.85,2004,2,Feb,10.596026490066258,0.0663824335071394,66.0039761431411,75.41270228511021,40.5357142857143,30.58370535714286,14791.297619047618,10759.232587521174,6.5698891403045865,2708.4053911377687,0.0029625210924405,1,1,China boom,4.285714285714299,10.016666666670062
2004-03-01,52.4330357142857,13786.54347826087,8579.73913043478,449861.7682453414,118284946.5538752,2004,3,Mar,17.215568862275312,-8.694457190138182,100.5635245901642,65.31382788038638,45.87053571428573,32.77455357142858,14658.408937198066,11213.142956741329,8.918174445742226,2722.427450531335,0.0038032038847854,1,1,China boom,7.700892857142804,-1312.8065217391304
2004-04-01,57.0535714285714,12725.9,8613.54545454545,491433.5308441554,109615118.09999996,2004,4,Apr,8.812260536398453,-7.693324145630354,127.07889125799564,60.46730828034714,51.40625,35.435267857142854,13870.597826086958,11612.75754007466,10.958078887844442,2542.802228339436,0.0044832641643083,1,1,China boom,4.620535714285701,-1060.6434782608703
2004-05-01,60.46875,11228.60526315789,9001.47619047619,544308.0133928572,101074022.9285714,2004,5,May,5.985915492957794,-11.765727664386096,142.22103004291858,34.51096272526812,56.6517857142857,38.39397321428572,12580.34958047292,11852.830895337816,12.55120760039566,2333.9351823623056,0.0053852414064642,1,0,China boom,3.415178571428598,-1497.29473684211
2004-06-01,63.8035714285714,13599.36363636364,9383.72727272727,598715.3133116879,127612719.446281,2004,6,Jun,5.51495016611292,21.113560568242896,147.0954356846469,53.855945287880026,60.44196428571427,41.559151785714285,12517.956299840507,12249.5258809078,13.817707586666916,2174.20263997068,0.0046916586051104,1,1,China boom,3.334821428571402,2370.75837320575
2004-07-01,65.7589285714286,15020.06818181818,9030.95454545455,593865.8948863641,135645553.01962814,2004,7,Jul,3.064651553316633,10.446845774869097,152.05338809034933,70.06995461596497,63.34375,44.86495535714286,13282.679027113236,12765.22322939265,14.508279346738476,2018.139875824656,0.004378071242781,1,1,China boom,1.9553571428571956,1420.7045454545405
2004-08-01,63.4821428571429,13639.61904761905,9240.63636363636,586615.3977272729,126038759.75757574,2004,8,Aug,-3.4623217922606697,-9.190698187842894,133.95853899308975,45.72437182781874,64.34821428571429,47.89397321428572,14086.35028860029,13121.868566694238,14.262164935178983,1717.3868856864467,0.0046542460339626,1,1,China boom,-2.276785714285701,-1380.4491341991306
2004-09-01,59.3303571428571,13430.36363636364,9174.13636363636,544304.7869318177,123211987.41322312,2004,9,Sep,-6.5400843881857735,-1.5341734290734266,107.39700374531787,34.360434183541244,62.85714285714287,50.45424107142856,14030.016955266956,13408.084475785146,13.203485177487297,1407.2298486991035,0.0044176284983242,1,1,China boom,-4.1517857142857935,-209.25541125540985
2004-10-01,60.6696428571429,14378.476190476193,9095.38095238095,551813.5140306125,130777718.46712016,2004,10,Oct,2.257336343115268,7.059470463967732,105.90909090909112,30.23648669239032,61.1607142857143,53.0546875,13816.15295815296,13686.267274266858,11.678576257278191,1213.1776712967037,0.004219476532383,1,1,China boom,1.3392857142857935,948.112554112553
2004-11-01,56.5982142857143,14089.51227272727,9023.59090909091,510719.1318993508,127137994.8577066,2004,11,Nov,-6.710816777041984,-2.009697786614706,76.59841203510265,16.90237212771151,58.86607142857144,55.10044642857144,13966.117366522369,13856.0287136608,9.636017652453791,1101.1141420758995,0.0040170456712877,1,1,China boom,-4.071428571428598,-288.96391774892254
2004-12-01,55.9821428571429,13764.976190476193,9222.82608695652,516313.5675465841,126951981.4958592,2004,12,Dec,-1.088499763369566,-2.303387625981024,53.6764705882355,-2.9624753348054367,57.75000000000003,56.72991071428572,14077.654884559886,13821.009269216354,7.637573534583789,1096.365487791065,0.0040669988877914,0,0,China boom,-0.6160714285714022,-324.53608225107746
2005-01-01,56.8339285714286,14563.75,9197.38095238095,522723.2920918369,133948356.84523807,2005,1,Jan,1.521531100478457,5.802943633687274,40.51655629139071,-3.4831448263673903,56.4714285714286,58.09553571428573,14139.412821067825,13777.210658105245,5.674005109334388,1050.6356583488969,0.0039024240715082,0,1,China boom,0.8517857142857039,798.7738095238074
2005-02-01,53.4616071428571,15415.6,9229.8,493439.9416071424,142282904.88,2005,2,Feb,-5.933641247997112,5.8491116642348295,19.51497005988003,2.0944610198452285,55.42589285714286,58.82299107142858,14581.442063492066,13803.564824771913,4.163481973490862,1090.0425697932635,0.0034680198722629,0,1,China boom,-3.372321428571503,851.8500000000004
2005-03-01,54.5625,16239.90476190476,9372.69565217391,511397.70652173896,152211684.75362313,2005,3,Mar,2.059221403878042,5.347211668081409,4.0613026819923626,17.79533272797813,54.95267857142857,59.00044642857143,15406.418253968252,14008.0115984089,3.903643675960336,1296.9895775708333,0.0033597795553574,0,1,China boom,1.1008928571429024,824.3047619047593
